API,Well_Name,Well_Number,Operator_Number,Operator_Name,Daily_Report_Date_Start,Daily_Report_Date_End,Report_Date,Volume_BPD,Pressure_PSI,Latitude,Longitude,DirArea,Directive_Status
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-11-28,14767,394,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-11-29,13240,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-01,16309,380,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-03,11552,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-04,14041,391,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-05,15898,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-06,11858,370,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-07,13045,392,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-08,16580,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-11,23995,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-12,9334,381,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-13,13344,390,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322131,ASHLEY SWD,1-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2016-12-25,2014-12-14,13608,388,36.8688,-98.2317,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-11-28,12677,285,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-11-29,12701,263,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-01,11093,330,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-04,8154,275,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-05,12592,325,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-06,10178,333,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-07,11002,320,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-09,9170,335,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-10,14042,261,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-12,2621,325,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-13,10818,187,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-14,13327,195,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-15,9314,184,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-18,10567,320,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-19,11711,353,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-20,11652,184,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-21,11561,186,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-22,11869,271,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-23,11931,278,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-24,10926,258,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-25,11505,203,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-26,12776,110,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-27,10572,318,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-28,11933,254,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-29,10651,220,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-30,13332,256,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322144,JUDY SWD,1-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-31,10383,241,36.92187,-98.32401,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-11-28,14846,370,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-11-29,14540,373,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-11-30,12764,377,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-02,12879,368,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-05,14226,373,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-06,12050,375,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-07,12631,374,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-08,15501,367,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-10,14557,362,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-11,10173,365,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-12,8858,362,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-13,11753,173,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-14,14331,186,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-15,10049,178,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-17,9632,178,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-18,11543,323,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-19,12917,345,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-20,12782,187,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-21,12794,168,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-22,13209,269,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-23,13363,260,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-24,12255,262,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-25,12919,206,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-26,14454,110,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-27,11935,312,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-28,13471,252,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-29,12120,206,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-30,15091,252,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322186,JUDY SWD,2-12,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-31,11798,232,36.921875,-98.324524,OWRA,PLUGGED BACK
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-03,4286,393,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-13,4598,390,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-18,12380,385,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-19,15402,392,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-21,14057,389,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-22,12963,397,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-24,14505,391,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-25,17628,390,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-27,11495,390,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-29,13586,395,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322212,ASHLEY SWD,2-36,20357,SANDRIDGE EXPLORATION & PRODUCTION LLC,2014-11-23,2020-03-29,2014-12-31,12853,388,36.8685,-98.2316,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-02,14193,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-03,15700,120,36.8403,-98.3611,OWRA,NOT IN GRANITE
3500322308,REITZ,1 SWD,103155,EAGLE EXPLORATION PRODUCTION LLC,2012-12-16,2020-02-23,2013-11-04,15314,115,36.8403,-98.3611,OWRA,NOT IN GRANITE
